Symbol	Description
A9H25	MSCI EAFE NTR Index {Mar 25}
A9H26	MSCI EAFE NTR Index {Mar 26}
A9M25	MSCI EAFE NTR Index {Jun 25}
A9M26	MSCI EAFE NTR Index {Jun 26}
A9U25	MSCI EAFE NTR Index {Sep 25}
A9Z25	MSCI EAFE NTR Index {Dec 25}
AFH25	MSCI USA Value {Mar 25}
AFH26	MSCI USA Value {Mar 26}
AFM25	MSCI USA Value {Jun 25}
AFM26	MSCI USA Value {Jun 26}
AFU25	MSCI USA Value {Sep 25}
AFZ25	MSCI USA Value {Dec 25}
AMH25	MSCI EM Asia NTR {Mar 25}
AMH26	MSCI EM Asia NTR {Mar 26}
AMM25	MSCI EM Asia NTR {Jun 25}
AMM26	MSCI EM Asia NTR {Jun 26}
AMU25	MSCI EM Asia NTR {Sep 25}
AMZ25	MSCI EM Asia NTR {Dec 25}
ANH25	MSCI Euro Index {Mar 25}
ANH26	MSCI Euro Index {Mar 26}
ANM25	MSCI Euro Index {Jun 25}
ANM26	MSCI Euro Index {Jun 26}
ANU25	MSCI Euro Index {Sep 25}
ANZ25	MSCI Euro Index {Dec 25}
AOH25	MSCI Pan-Euro Index {Mar 25}
AOH26	MSCI Pan-Euro Index {Mar 26}
AOM25	MSCI Pan-Euro Index {Jun 25}
AOM26	MSCI Pan-Euro Index {Jun 26}
AOU25	MSCI Pan-Euro Index {Sep 25}
AOZ25	MSCI Pan-Euro Index {Dec 25}
AR	Aussie/New Zealand
ARH25	Aussie/New Zealand {Mar 25}
ARH26	Aussie/New Zealand {Mar 26}
ARM25	Aussie/New Zealand {Jun 25}
ARU25	Aussie/New Zealand {Sep 25}
ARZ25	Aussie/New Zealand {Dec 25}
AS	Aussie/Canadian
ASH25	Aussie/Canadian {Mar 25}
ASH26	Aussie/Canadian {Mar 26}
ASM25	Aussie/Canadian {Jun 25}
ASU25	Aussie/Canadian {Sep 25}
ASZ25	Aussie/Canadian {Dec 25}
AU	Australian Dollar
AUH25	Australian Dollar {Mar 25}
AUH26	Australian Dollar {Mar 26}
AUM25	Australian Dollar {Jun 25}
AUU25	Australian Dollar {Sep 25}
AUZ25	Australian Dollar {Dec 25}
CC	Cocoa
CCH25	Cocoa {Mar 25}
CCH26	Cocoa {Mar 26}
CCH27	Cocoa {Mar 27}
CCK25	Cocoa {May 25}
CCK26	Cocoa {May 26}
CCN25	Cocoa {Jul 25}
CCN26	Cocoa {Jul 26}
CCU25	Cocoa {Sep 25}
CCU26	Cocoa {Sep 26}
CCZ25	Cocoa {Dec 25}
CCZ26	Cocoa {Dec 26}
CT	Cotton #2
CTH25	Cotton #2 {Mar 25}
CTH26	Cotton #2 {Mar 26}
CTH27	Cotton #2 {Mar 27}
CTH28	Cotton #2 {Mar 28}
CTK25	Cotton #2 {May 25}
CTK26	Cotton #2 {May 26}
CTK27	Cotton #2 {May 27}
CTN25	Cotton #2 {Jul 25}
CTN26	Cotton #2 {Jul 26}
CTN27	Cotton #2 {Jul 27}
CTV25	Cotton #2 {Oct 25}
CTV26	Cotton #2 {Oct 26}
CTV27	Cotton #2 {Oct 27}
CTZ25	Cotton #2 {Dec 25}
CTZ26	Cotton #2 {Dec 26}
CTZ27	Cotton #2 {Dec 27}
DEH25	MSCI EMI Index {Mar 25}
DEH26	MSCI EMI Index {Mar 26}
DEH27	MSCI EMI Index {Mar 27}
DEH28	MSCI EMI Index {Mar 28}
DEH29	MSCI EMI Index {Mar 29}
DEH30	MSCI EMI Index {Mar 30}
DEM25	MSCI EMI Index {Jun 25}
DEM26	MSCI EMI Index {Jun 26}
DEM27	MSCI EMI Index {Jun 27}
DEM28	MSCI EMI Index {Jun 28}
DEM29	MSCI EMI Index {Jun 29}
DEU25	MSCI EMI Index {Sep 25}
DEU26	MSCI EMI Index {Sep 26}
DEU27	MSCI EMI Index {Sep 27}
DEU28	MSCI EMI Index {Sep 28}
DEU29	MSCI EMI Index {Sep 29}
DEZ25	MSCI EMI Index {Dec 25}
DEZ26	MSCI EMI Index {Dec 26}
DEZ27	MSCI EMI Index {Dec 27}
DEZ28	MSCI EMI Index {Dec 28}
DEZ29	MSCI EMI Index {Dec 29}
DEZ30	MSCI EMI Index {Dec 30}
DEZ31	MSCI EMI Index {Dec 31}
DEZ32	MSCI EMI Index {Dec 32}
DIH25	MSCI EAFE Index {Mar 25}
DIH26	MSCI EAFE Index {Mar 26}
DIH27	MSCI EAFE Index {Mar 27}
DIH28	MSCI EAFE Index {Mar 28}
DIH29	MSCI EAFE Index {Mar 29}
DIH30	MSCI EAFE Index {Mar 30}
