Symbol	Description
A.H	Armor Minerals Inc
AAA.P	First Tidal Acquisition Corp
AAG	Aftermath Silver Ltd
AAN	Aton Resources Inc
AAZ	Azincourt Energy Corp
AB.H	Asbestos Corp Ltd
ABA	Abasca Resources Inc
ABI	Abcourt Mines Inc
ABM	Aben Minerals Ltd
ABR	Arbor Metals Corp
ABZ	Asiabasemetals Inc
ACAP.P	Atlas One Capital Corporation
ACDC	Ac/Dc Battery Metals Inc.
ACR.H	Auscan Resources Inc
ACU	Aurora Solar Technologies Inc
ADD	Arctic Star Exploration Corp
ADE	Adex Mining Inc
ADG.H	Arcus Development Group Inc
ADJ.P	Ad4 Capital Corp
ADK	Diagnos Inc
ADY	Adyton Resources Corp
ADYA	Adya Inc
ADZ	Adamera Minerals Corp
AE	American Eagle Gold Corp
AEC	Anfield Energy Inc
AEC.WT	Anfield Energy Inc
AEMC	Alaska Energy Metals Corp
AEP	Atlas Engineered Products Ltd
AERO	Aero Energy Ltd
AF.P	Af2 Capital Corp
AFCC.H	Automotive Finco Corp
AFE	Africa Energy Corp
AFM	Alphamin Resources Corp
AFR	African Metals Corp
AGA	Silver47 Exploration Corp
AGAG	Argenta Silver Corp
AGET	Agedb Technology Ltd.
AGH.H	Canadian Silver Hunter Inc
AGLD	Austral Gold Ltd
AGMR	Silver Mountain Resources Inc
AGMR.WT.B	Silver Mountain Resources Inc.
AGT	Applied Graphite Technologies Corp
AGX	Silver X Mining Corp
AHR	Amarc Resources Ltd
AIR	Clean Air Metals Inc
AIS	Ais Resources Ltd
AISX	Aisix Solutions Inc
AIVC	Ai Artificial Intelligence Ventures Inc
AJA	Aja Health and Wellness Inc
AKH.H	Alaska Hydro Corp
AKR	Ackroo Inc
ALDE	Aldebaran Resources Inc
ALEX	Alpha Exploration Ltd
ALFA.UN	Margaux Real Estate Investment Trust
ALM	Alliance Mining Corp
ALT	Alturas Minerals Corp.
ALTA	Altamira Gold Corp
ALTR.P	Alterego Ventures 24 Corp
ALV	Alvopetro Energy Ltd
AME	Abacus Mining and Exploration
AMK	American Creek Resources Ltd
AML	Akwaaba Mining Ltd
AMRQ	Amaroq Minerals Ltd
AMT	Ameritrust Financial Technologies Inc
AMX	AMEX Exploration Inc
AMY	Recylico Battery Materials Inc
AMZ	Azucar Minerals Ltd
ANK	Angkor Resources Corp
ANOR	Anortech Inc
ANTL	Antler Gold Inc
AORO	Aloro Mining Corp
APGO	Apollo Silver Corp
APMI	Apogee Minerals Ltd
APN	Altiplano Minerals Ltd
APX	Apex Resources Inc
AQS	Aequus Pharmaceuticals Inc
ARC	Arcpoint Inc
ARCH	Arch Biopartners Inc
ARGH	Argo Corporation
ARH	Altima Energy Inc
ARIC	Awale Resources Ltd
ARJN	Aranjin Resources Ltd
ARK	Arras Minerals Corp
AROC.P	Argo Opportunity Corp.
ARTG	Artemis Gold Inc
ARU	Aurania Resources Ltd
