Symbol	Description
AAAAX	Dws Rreef Real Assets Fund - Class A
AAACX	Alpha Alternative Assets Fund
AAAFX	One Choice Blend+ 2015 Portfolio  Investor Class
AAAHX	One Choice Blend+ 2015 Portfolio  I Class
AAAJX	One Choice Blend+ 2015 Portfolio  A Class
AAAKX	One Choice Blend+ 2015 Portfolio  R Class
AAALX	One Choice Blend+ 2015 Portfolio  R6 Class
AAAMX	One Choice Blend+ 2020 Portfolio  Investor Class
AAANX	Horizon Active Asset Allocation Fund - Investor
AAAOX	One Choice Blend+ 2020 Portfolio  I Class
AAAPX	Dws Rreef Real Assets Fund - Class C
AAAQX	Dws Rreef Real Assets Fund - Class R
AAASX	Dws Rreef Real Assets Fund - Class S
AAAUX	American Century Strategic Allocation Aggressive
AAAVX	Dws Rreef Real Assets Fund - Class R6
AAAZX	Dws Rreef Real Assets Fund - Class Institutional
AABEX	One Choice Blend+ 2020 Portfolio  A Class
AABGX	One Choice Blend+ 2020 Portfolio  R Class
AABHX	One Choice Blend+ 2020 Portfolio  R6 Class
AABJX	One Choice Blend+ 2025 Portfolio  Investor Class
AABKX	One Choice Blend+ 2025 Portfolio  I Class
AABMM	Government Fund Sweep Class
AABOX	Cavanal Hill Bond Fd Cl A Shs
AABQX	One Choice Blend+ 2025 Portfolio  A Class
AABRX	One Choice Blend+ 2025 Portfolio  R Class
AABVX	One Choice Blend+ 2025 Portfolio  R6 Class
AABWX	One Choice Blend+ 2030 Portfolio  Investor Class
AABXX	Government Fund Sweep Class
AABZX	One Choice Blend+ 2030 Portfolio  A Class
AACAX	Alpha Alternative Assets Fund Class A
AACDX	American Century Strategic Allocation Conservati
AACGX	American Century Strategic Allocation Conservat
AACHX	One Choice Blend+ 2030 Portfolio  R Class
AACJX	One Choice Blend+ 2030 Portfolio  R6 Class
AACKX	One Choice Blend+ 2035 Portfolio  Investor Class
AACLX	One Choice Blend+ 2035 Portfolio  I Class
AACMX	One Choice Blend+ 2035 Portfolio  A Class
AACPX	One Choice Blend+ 2035 Portfolio  R Class
AACQX	One Choice Blend+ 2035 Portfolio  R6 Class
AACSX	One Choice Blend+ 2040 Portfolio  Investor Class
AACUX	One Choice Blend+ 2040 Portfolio  I Class
AACVX	One Choice Blend+ 2040 Portfolio  A Class
AACWX	One Choice Blend+ 2040 Portfolio  R Class
AACZX	One Choice Blend+ 2040 Portfolio  R6 Class
AADHX	One Choice Blend+ 2045 Portfolio  Investor Class
AADJX	One Choice Blend+ 2045 Portfolio  I Class
AADKX	One Choice Blend+ 2045 Portfolio  A Class
AADLX	One Choice Blend+ 2045 Portfolio  R Class
AADMX	One Choice Blend+ 2045 Portfolio  R6 Class
AADNX	One Choice Blend+ 2050 Portfolio  Investor Class
AADOX	One Choice Blend+ 2050 Portfolio  I Class
AADPX	One Choice Blend+ 2050 Portfolio  A Class
AADQX	One Choice Blend+ 2050 Portfolio  R Class
AADUX	One Choice Blend+ 2050 Portfolio  R6 Class
AADVX	One Choice Blend+ 2055 Portfolio  Investor Class
AADWX	One Choice Blend+ 2055 Portfolio  I Class
AADYX	Invesco Select Risk Growth Investor Fund Class
AADZX	One Choice Blend+ 2055 Portfolio  A Class
AAEDX	One Choice Blend+ 2055 Portfolio  R Class
AAEEX	One Choice Blend+ 2055 Portfolio  R6 Class
AAEFX	One Choice Blend+ 2060 Portfolio  Investor Class
AAEGX	One Choice Blend+ 2060 Portfolio  I Class
AAEHX	One Choice Blend+ 2060 Portfolio  A Class
AAEIX	One Choice Blend+ 2060 Portfolio  R Class
AAEJX	One Choice Blend+ 2060 Portfolio  R6 Class
AAEKX	One Choice Blend+ 2065 Portfolio  Investor Class
AAELX	One Choice Blend+ 2065 Portfolio  I Class
AAEMX	The Alger Fds II Alger Emerging Markets Fund Cl
AAENX	Strategic Enhanced Yield Fund Class A Shares
AAEOX	One Choice Blend+ 2065 Portfolio  A Class
AAERX	American Beacon International Equity Fund - R6 C
